"n","power","test","eps","eff"
35,0.99996191087723,"Public","1","1"
36,0.999973278502995,"Public","1","1"
37,0.999981285148686,"Public","1","1"
38,0.999986914111886,"Public","1","1"
39,0.999990864438391,"Public","1","1"
40,0.999993631968596,"Public","1","1"
41,0.999995567645562,"Public","1","1"
42,0.999996919342538,"Public","1","1"
43,0.99999786178567,"Public","1","1"
44,0.999998517904378,"Public","1","1"
45,0.999998974027461,"Public","1","1"
46,0.99999929067334,"Public","1","1"
47,0.999999510194584,"Public","1","1"
48,0.999999662182132,"Public","1","1"
49,0.999999767277877,"Public","1","1"
50,0.999999839859055,"Public","1","1"
51,0.99999988992472,"Public","1","1"
52,0.999999924419046,"Public","1","1"
53,0.999999948157967,"Public","1","1"
54,0.999999964476955,"Public","1","1"
55,0.999999975683122,"Public","1","1"
56,0.999999983370262,"Public","1","1"
57,0.999999988638046,"Public","1","1"
58,0.999999992244311,"Public","1","1"
59,0.999999994710717,"Public","1","1"
60,0.999999996395947,"Public","1","1"
61,0.999999997546353,"Public","1","1"
62,0.999999998330956,"Public","1","1"
63,0.999999998865599,"Public","1","1"
64,0.999999999229601,"Public","1","1"
65,0.999999999477215,"Public","1","1"
66,0.999999999645517,"Public","1","1"
67,0.999999999759818,"Public","1","1"
68,0.999999999837384,"Public","1","1"
69,0.99999999988998,"Public","1","1"
70,0.999999999925617,"Public","1","1"
71,0.999999999949746,"Public","1","1"
72,0.999999999966071,"Public","1","1"
73,0.999999999977108,"Public","1","1"
74,0.999999999984565,"Public","1","1"
75,0.9999999999896,"Public","1","1"
76,0.999999999992996,"Public","1","1"
77,0.999999999995287,"Public","1","1"
78,0.99999999999683,"Public","1","1"
79,0.999999999997869,"Public","1","1"
80,0.999999999998569,"Public","1","1"
81,0.999999999999039,"Public","1","1"
82,0.999999999999355,"Public","1","1"
83,0.999999999999568,"Public","1","1"
84,0.99999999999971,"Public","1","1"
85,0.999999999999806,"Public","1","1"
86,0.99999999999987,"Public","1","1"
87,0.999999999999913,"Public","1","1"
88,0.999999999999942,"Public","1","1"
89,0.999999999999961,"Public","1","1"
90,0.999999999999974,"Public","1","1"
91,0.999999999999983,"Public","1","1"
92,0.999999999999988,"Public","1","1"
93,0.999999999999992,"Public","1","1"
94,0.999999999999995,"Public","1","1"
95,0.999999999999997,"Public","1","1"
96,0.999999999999998,"Public","1","1"
97,0.999999999999998,"Public","1","1"
98,0.999999999999999,"Public","1","1"
