"n","power","test","eps","eff","d","nzero"
1,0.5022,"Public","100","0","100","0"
2,0.4998,"Public","100","0","100","0"
3,0.495,"Public","100","0","100","0"
4,0.5112,"Public","100","0","100","0"
5,0.4994,"Public","100","0","100","0"
6,0.5136,"Public","100","0","100","0"
7,0.5004,"Public","100","0","100","0"
8,0.5058,"Public","100","0","100","0"
9,0.4972,"Public","100","0","100","0"
10,0.4974,"Public","100","0","100","0"
11,0.4998,"Public","100","0","100","0"
12,0.497,"Public","100","0","100","0"
13,0.498,"Public","100","0","100","0"
14,0.5034,"Public","100","0","100","0"
15,0.5104,"Public","100","0","100","0"
16,0.5008,"Public","100","0","100","0"
17,0.506,"Public","100","0","100","0"
18,0.5022,"Public","100","0","100","0"
19,0.5042,"Public","100","0","100","0"
20,0.4866,"Public","100","0","100","0"
100,0.4916,"Public","100","0","100","0"
200,0.498,"Public","100","0","100","0"
300,0.5026,"Public","100","0","100","0"
400,0.4928,"Public","100","0","100","0"
500,0.5016,"Public","100","0","100","0"
600,0.5014,"Public","100","0","100","0"
700,0.509,"Public","100","0","100","0"
800,0.5044,"Public","100","0","100","0"
900,0.496,"Public","100","0","100","0"
1000,0.502,"Public","100","0","100","0"
2000,0.508,"Public","100","0","100","0"
3000,0.5022,"Public","100","0","100","0"
4000,0.5224,"Public","100","0","100","0"
5000,0.5042,"Public","100","0","100","0"
6000,0.4992,"Public","100","0","100","0"
7000,0.4952,"Public","100","0","100","0"
8000,0.4934,"Public","100","0","100","0"
9000,0.4944,"Public","100","0","100","0"
10000,0.498,"Public","100","0","100","0"
1,1,"Canonne","1","0","100","0"
300,1,"Canonne","1","0","100","0"
350,1,"Canonne","1","0","100","0"
358,1,"Canonne","1","0","100","0"
359,0.57,"Canonne","1","0","100","0"
400,0.513,"Canonne","1","0","100","0"
450,0.515,"Canonne","1","0","100","0"
500,0.524,"Canonne","1","0","100","0"
550,0.5,"Canonne","1","0","100","0"
600,0.516,"Canonne","1","0","100","0"
650,0.518,"Canonne","1","0","100","0"
700,0.482,"Canonne","1","0","100","0"
750,0.508,"Canonne","1","0","100","0"
800,0.505,"Canonne","1","0","100","0"
850,0.495,"Canonne","1","0","100","0"
900,0.506,"Canonne","1","0","100","0"
950,0.493,"Canonne","1","0","100","0"
1000,0.523,"Canonne","1","0","100","0"
2000,0.523,"Canonne","1","0","100","0"
3000,0.476,"Canonne","1","0","100","0"
4000,0.49,"Canonne","1","0","100","0"
5000,0.474,"Canonne","1","0","100","0"
6000,0.526,"Canonne","1","0","100","0"
7000,0.506,"Canonne","1","0","100","0"
8000,0.486,"Canonne","1","0","100","0"
9000,0.499,"Canonne","1","0","100","0"
10000,0.495,"Canonne","1","0","100","0"
3,0.499995314405008,"Test of tests","1","0","100","0"
4,0.500003680982415,"Test of tests","1","0","100","0"
5,0.499995078200654,"Test of tests","1","0","100","0"
10,0.499997264141041,"Test of tests","1","0","100","0"
15,0.499996737909773,"Test of tests","1","0","100","0"
20,0.500000670708675,"Test of tests","1","0","100","0"
25,0.499995546209577,"Test of tests","1","0","100","0"
30,0.499996273378043,"Test of tests","1","0","100","0"
35,0.500000769782495,"Test of tests","1","0","100","0"
40,0.499999813227788,"Test of tests","1","0","100","0"
45,0.499998955304537,"Test of tests","1","0","100","0"
50,0.500003182850117,"Test of tests","1","0","100","0"
55,0.49999811120262,"Test of tests","1","0","100","0"
60,0.499995586394806,"Test of tests","1","0","100","0"
65,0.499999381960845,"Test of tests","1","0","100","0"
70,0.500000655451373,"Test of tests","1","0","100","0"
75,0.499996702671912,"Test of tests","1","0","100","0"
80,0.499996614298298,"Test of tests","1","0","100","0"
85,0.49999946579014,"Test of tests","1","0","100","0"
90,0.499997921435272,"Test of tests","1","0","100","0"
95,0.500006383056034,"Test of tests","1","0","100","0"
100,0.499995546209577,"Test of tests","1","0","100","0"
200,0.499999421502409,"Test of tests","1","0","100","0"
300,0.499997212978969,"Test of tests","1","0","100","0"
400,0.500000359545441,"Test of tests","1","0","100","0"
500,0.499997652555578,"Test of tests","1","0","100","0"
600,0.499998497211449,"Test of tests","1","0","100","0"
700,0.499995864879382,"Test of tests","1","0","100","0"
800,0.500002098521026,"Test of tests","1","0","100","0"
900,0.500001153047015,"Test of tests","1","0","100","0"
1000,0.5000025016597,"Test of tests","1","0","100","0"
2000,0.499999884046741,"Test of tests","1","0","100","0"
3000,0.500000901560577,"Test of tests","1","0","100","0"
4000,0.500000004052091,"Test of tests","1","0","100","0"
5000,0.499995981071473,"Test of tests","1","0","100","0"
6000,0.499999081094087,"Test of tests","1","0","100","0"
7000,0.499999132804357,"Test of tests","1","0","100","0"
8000,0.50000414935307,"Test of tests","1","0","100","0"
9000,0.500001503056193,"Test of tests","1","0","100","0"
10000,0.499995921208167,"Test of tests","1","0","100","0"
