n,power,test,eps,eff
174,1,Public,0.1,3
175,1,Public,0.1,3
176,1,Public,0.1,3
177,1,Public,0.1,3
178,1,Public,0.1,3
179,1,Public,0.1,3
180,1,Public,0.1,3
181,1,Public,0.1,3
182,1,Public,0.1,3
183,1,Public,0.1,3
184,1,Public,0.1,3
185,1,Public,0.1,3
186,1,Public,0.1,3
187,1,Public,0.1,3
188,1,Public,0.1,3
189,1,Public,0.1,3
190,1,Public,0.1,3
191,1,Public,0.1,3
192,1,Public,0.1,3
193,1,Public,0.1,3
194,1,Public,0.1,3
195,1,Public,0.1,3
196,1,Public,0.1,3
197,1,Public,0.1,3
198,1,Public,0.1,3
199,1,Public,0.1,3
200,1,Public,0.1,3
201,1,Public,0.1,3
202,1,Public,0.1,3
203,1,Public,0.1,3
204,1,Public,0.1,3
205,1,Public,0.1,3
206,1,Public,0.1,3
207,1,Public,0.1,3
208,1,Public,0.1,3
209,1,Public,0.1,3
210,1,Public,0.1,3
211,1,Public,0.1,3
212,1,Public,0.1,3
213,1,Public,0.1,3
214,1,Public,0.1,3
215,1,Public,0.1,3
216,1,Public,0.1,3
217,1,Public,0.1,3
218,1,Public,0.1,3
219,1,Public,0.1,3
220,1,Public,0.1,3
221,1,Public,0.1,3
222,1,Public,0.1,3
223,1,Public,0.1,3
224,1,Public,0.1,3
225,1,Public,0.1,3
226,1,Public,0.1,3
227,1,Public,0.1,3
228,1,Public,0.1,3
229,1,Public,0.1,3
230,1,Public,0.1,3
231,1,Public,0.1,3
232,1,Public,0.1,3
233,1,Public,0.1,3
234,1,Public,0.1,3
235,1,Public,0.1,3
236,1,Public,0.1,3
237,1,Public,0.1,3
238,1,Public,0.1,3
239,1,Public,0.1,3
240,1,Public,0.1,3
241,1,Public,0.1,3
242,1,Public,0.1,3
243,1,Public,0.1,3
244,1,Public,0.1,3
245,1,Public,0.1,3
246,1,Public,0.1,3
247,1,Public,0.1,3
248,1,Public,0.1,3
249,1,Public,0.1,3
250,1,Public,0.1,3
251,1,Public,0.1,3
252,1,Public,0.1,3
253,1,Public,0.1,3
254,1,Public,0.1,3
255,1,Public,0.1,3
256,1,Public,0.1,3
257,1,Public,0.1,3
258,1,Public,0.1,3
259,1,Public,0.1,3
260,1,Public,0.1,3
261,1,Public,0.1,3
262,1,Public,0.1,3
263,1,Public,0.1,3
264,1,Public,0.1,3
265,1,Public,0.1,3
266,1,Public,0.1,3
267,1,Public,0.1,3
268,1,Public,0.1,3
269,1,Public,0.1,3
270,1,Public,0.1,3
271,1,Public,0.1,3
272,1,Public,0.1,3
273,1,Public,0.1,3
274,1,Public,0.1,3
275,1,Public,0.1,3
276,1,Public,0.1,3
