"n","power","test","eps","eff","d","nzero"
1,0.5262,"Public","100","0.1","60","40"
3,0.5606,"Public","100","0.1","60","40"
5,0.6012,"Public","100","0.1","60","40"
7,0.6336,"Public","100","0.1","60","40"
9,0.6786,"Public","100","0.1","60","40"
10,0.6926,"Public","100","0.1","60","40"
20,0.8424,"Public","100","0.1","60","40"
30,0.9244,"Public","100","0.1","60","40"
40,0.9676,"Public","100","0.1","60","40"
50,0.9854,"Public","100","0.1","60","40"
60,0.9944,"Public","100","0.1","60","40"
70,0.9986,"Public","100","0.1","60","40"
80,0.9998,"Public","100","0.1","60","40"
90,0.9998,"Public","100","0.1","60","40"
100,1,"Public","100","0.1","60","40"
10000,1,"Public","100","0.1","60","40"
300,1,"Canonne","1","0.1","60","40"
400,0.519,"Canonne","1","0.1","60","40"
500,0.515,"Canonne","1","0.1","60","40"
600,0.472,"Canonne","1","0.1","60","40"
700,0.494,"Canonne","1","0.1","60","40"
800,0.52,"Canonne","1","0.1","60","40"
900,0.522,"Canonne","1","0.1","60","40"
1000,0.488,"Canonne","1","0.1","60","40"
1100,0.503,"Canonne","1","0.1","60","40"
1200,0.522,"Canonne","1","0.1","60","40"
1300,0.478,"Canonne","1","0.1","60","40"
1400,0.509,"Canonne","1","0.1","60","40"
1500,0.521,"Canonne","1","0.1","60","40"
1600,0.526,"Canonne","1","0.1","60","40"
1700,0.506,"Canonne","1","0.1","60","40"
1800,0.504,"Canonne","1","0.1","60","40"
1900,0.514,"Canonne","1","0.1","60","40"
2000,0.516,"Canonne","1","0.1","60","40"
2100,0.512,"Canonne","1","0.1","60","40"
2200,0.516,"Canonne","1","0.1","60","40"
2300,0.495,"Canonne","1","0.1","60","40"
2400,0.487,"Canonne","1","0.1","60","40"
2500,0.499,"Canonne","1","0.1","60","40"
2600,0.489,"Canonne","1","0.1","60","40"
2700,0.489,"Canonne","1","0.1","60","40"
2800,0.5,"Canonne","1","0.1","60","40"
2900,0.517,"Canonne","1","0.1","60","40"
3000,0.502,"Canonne","1","0.1","60","40"
3100,0.51,"Canonne","1","0.1","60","40"
3200,0.507,"Canonne","1","0.1","60","40"
3300,0.504,"Canonne","1","0.1","60","40"
3400,0.501,"Canonne","1","0.1","60","40"
3500,0.493,"Canonne","1","0.1","60","40"
3600,0.521,"Canonne","1","0.1","60","40"
3700,0.487,"Canonne","1","0.1","60","40"
3800,0.507,"Canonne","1","0.1","60","40"
3900,0.467,"Canonne","1","0.1","60","40"
4000,0.496,"Canonne","1","0.1","60","40"
4100,0.512,"Canonne","1","0.1","60","40"
4200,0.523,"Canonne","1","0.1","60","40"
4300,0.507,"Canonne","1","0.1","60","40"
4400,0.524,"Canonne","1","0.1","60","40"
4500,0.494,"Canonne","1","0.1","60","40"
4600,0.481,"Canonne","1","0.1","60","40"
4700,0.502,"Canonne","1","0.1","60","40"
4800,0.524,"Canonne","1","0.1","60","40"
4900,0.505,"Canonne","1","0.1","60","40"
5000,0.508,"Canonne","1","0.1","60","40"
5500,0.518,"Canonne","1","0.1","60","40"
6000,0.546,"Canonne","1","0.1","60","40"
6500,0.596,"Canonne","1","0.1","60","40"
6600,0.614,"Canonne","1","0.1","60","40"
6700,0.622,"Canonne","1","0.1","60","40"
6800,0.613,"Canonne","1","0.1","60","40"
6900,0.66,"Canonne","1","0.1","60","40"
7000,0.662,"Canonne","1","0.1","60","40"
7100,0.718,"Canonne","1","0.1","60","40"
7200,0.711,"Canonne","1","0.1","60","40"
7300,0.732,"Canonne","1","0.1","60","40"
7400,0.746,"Canonne","1","0.1","60","40"
7500,0.783,"Canonne","1","0.1","60","40"
7600,0.821,"Canonne","1","0.1","60","40"
7700,0.833,"Canonne","1","0.1","60","40"
7800,0.843,"Canonne","1","0.1","60","40"
7900,0.845,"Canonne","1","0.1","60","40"
8000,0.883,"Canonne","1","0.1","60","40"
8100,0.902,"Canonne","1","0.1","60","40"
8200,0.917,"Canonne","1","0.1","60","40"
8300,0.916,"Canonne","1","0.1","60","40"
8400,0.931,"Canonne","1","0.1","60","40"
8500,0.952,"Canonne","1","0.1","60","40"
8600,0.952,"Canonne","1","0.1","60","40"
8700,0.967,"Canonne","1","0.1","60","40"
8800,0.957,"Canonne","1","0.1","60","40"
8900,0.973,"Canonne","1","0.1","60","40"
9000,0.983,"Canonne","1","0.1","60","40"
9100,0.99,"Canonne","1","0.1","60","40"
9200,0.982,"Canonne","1","0.1","60","40"
9300,0.996,"Canonne","1","0.1","60","40"
9400,0.994,"Canonne","1","0.1","60","40"
9500,0.997,"Canonne","1","0.1","60","40"
9600,0.996,"Canonne","1","0.1","60","40"
9700,0.995,"Canonne","1","0.1","60","40"
9800,0.998,"Canonne","1","0.1","60","40"
9900,0.999,"Canonne","1","0.1","60","40"
10000,1,"Canonne","1","0.1","60","40"
3,0.505556025554933,"Test of tests","1","0.1","60","40"
8,0.515396242055314,"Test of tests","1","0.1","60","40"
10,0.518656846903344,"Test of tests","1","0.1","60","40"
20,0.537443813183268,"Test of tests","1","0.1","60","40"
30,0.554880558903072,"Test of tests","1","0.1","60","40"
40,0.575380653229901,"Test of tests","1","0.1","60","40"
50,0.590406548907248,"Test of tests","1","0.1","60","40"
60,0.598372120753055,"Test of tests","1","0.1","60","40"
70,0.61389644717323,"Test of tests","1","0.1","60","40"
80,0.649133764587261,"Test of tests","1","0.1","60","40"
90,0.666930962971845,"Test of tests","1","0.1","60","40"
100,0.674759780414562,"Test of tests","1","0.1","60","40"
200,0.765111658773147,"Test of tests","1","0.1","60","40"
300,0.825716199104835,"Test of tests","1","0.1","60","40"
400,0.93692254991181,"Test of tests","1","0.1","60","40"
500,0.961125219240525,"Test of tests","1","0.1","60","40"
600,0.976476442773296,"Test of tests","1","0.1","60","40"
700,0.98538181904239,"Test of tests","1","0.1","60","40"
800,0.990919553642698,"Test of tests","1","0.1","60","40"
900,0.994385628011735,"Test of tests","1","0.1","60","40"
1000,0.996576823748115,"Test of tests","1","0.1","60","40"
2000,0.999972073295167,"Test of tests","1","0.1","60","40"
3000,0.999999771461865,"Test of tests","1","0.1","60","40"
4000,0.999999998133881,"Test of tests","1","0.1","60","40"
5000,0.999999999984647,"Test of tests","1","0.1","60","40"
6000,0.999999999999818,"Test of tests","1","0.1","60","40"
7000,0.999999999999995,"Test of tests","1","0.1","60","40"
8000,1,"Test of tests","1","0.1","60","40"
9000,1,"Test of tests","1","0.1","60","40"
10000,1,"Test of tests","1","0.1","60","40"
