n,power,test,eps,eff,d,nzero
850,0.7938,CKMUZ,1,0.5,100,99
900,0.872,CKMUZ,1,0.5,100,99
950,0.9246,CKMUZ,1,0.5,100,99
1000,0.9592,CKMUZ,1,0.5,100,99
1050,0.9786,CKMUZ,1,0.5,100,99
1100,0.9902,CKMUZ,1,0.5,100,99
1150,0.996,CKMUZ,1,0.5,100,99
1200,0.998,CKMUZ,1,0.5,100,99
1500,1,CKMUZ,1,0.5,100,99
2000,1,CKMUZ,1,0.5,100,99
2500,1,CKMUZ,1,0.5,100,99
3000,1,CKMUZ,1,0.5,100,99
3500,1,CKMUZ,1,0.5,100,99
4000,1,CKMUZ,1,0.5,100,99
4500,1,CKMUZ,1,0.5,100,99
5000,1,CKMUZ,1,0.5,100,99
6000,1,CKMUZ,1,0.5,100,99
7000,1,CKMUZ,1,0.5,100,99
8000,1,CKMUZ,1,0.5,100,99
9000,1,CKMUZ,1,0.5,100,99
10000,1,CKMUZ,1,0.5,100,99
3,0.509702741553112,ToT,1,0.5,100,99
4,0.512903048229952,ToT,1,0.5,100,99
5,0.515990214766633,ToT,1,0.5,100,99
5,0.515990214766633,ToT,1,0.5,100,99
15,0.534841006151788,ToT,1,0.5,100,99
25,0.558063853132879,ToT,1,0.5,100,99
35,0.563494962088028,ToT,1,0.5,100,99
45,0.58196747290955,ToT,1,0.5,100,99
55,0.600057257736492,ToT,1,0.5,100,99
65,0.618280985735057,ToT,1,0.5,100,99
75,0.636299140272428,ToT,1,0.5,100,99
85,0.653889922713604,ToT,1,0.5,100,99
95,0.670689723099526,ToT,1,0.5,100,99
150,0.756749796304256,ToT,1,0.5,100,99
170,0.783544085664271,ToT,1,0.5,100,99
190,0.807701219095562,ToT,1,0.5,100,99
220,0.838919461921662,ToT,1,0.5,100,99
230,0.84826745994198,ToT,1,0.5,100,99
250,0.864912573915178,ToT,1,0.5,100,99
260,0.872640044485058,ToT,1,0.5,100,99
300,0.898019863509188,ToT,1,0.5,100,99
400,0.93600899031473,ToT,1,0.5,100,99
450,0.945846121328448,ToT,1,0.5,100,99
500,0.952404155916236,ToT,1,0.5,100,99
600,0.972223640154559,ToT,1,0.5,100,99
650,0.97649318160181,ToT,1,0.5,100,99
700,0.982435714965666,ToT,1,0.5,100,99
750,0.984835254974026,ToT,1,0.5,100,99
800,0.990782906744647,ToT,1,0.5,100,99
850,0.992747163826761,ToT,1,0.5,100,99
900,0.99427425172205,ToT,1,0.5,100,99
950,0.995537350416698,ToT,1,0.5,100,99
1000,0.996522879696642,ToT,1,0.5,100,99
1000,0.996522879696642,ToT,1,0.5,100,99
2000,0.999913233456139,ToT,1,0.5,100,99
3000,0.999907911705441,ToT,1,0.5,100,99
4000,0.999987658135294,ToT,1,0.5,100,99
5000,0.998192376239141,ToT,1,0.5,100,99
6000,0.999756885540336,ToT,1,0.5,100,99
7000,0.999909275529894,ToT,1,0.5,100,99
8000,0.999966632210322,ToT,1,0.5,100,99
9000,0.999987864437965,ToT,1,0.5,100,99
10000,0.999995507528931,ToT,1,0.5,100,99
