"n","power","test","eps","eff","d","nzero"
1,0.936,"Public","100","0.5","100","99"
2,0.9968,"Public","100","0.5","100","99"
3,1,"Public","100","0.5","100","99"
4,1,"Public","100","0.5","100","99"
5,1,"Public","100","0.5","100","99"
6,1,"Public","100","0.5","100","99"
7,1,"Public","100","0.5","100","99"
8,1,"Public","100","0.5","100","99"
9,1,"Public","100","0.5","100","99"
10,1,"Public","100","0.5","100","99"
11,1,"Public","100","0.5","100","99"
12,1,"Public","100","0.5","100","99"
13,1,"Public","100","0.5","100","99"
14,1,"Public","100","0.5","100","99"
15,1,"Public","100","0.5","100","99"
16,1,"Public","100","0.5","100","99"
17,1,"Public","100","0.5","100","99"
18,1,"Public","100","0.5","100","99"
19,1,"Public","100","0.5","100","99"
20,1,"Public","100","0.5","100","99"
100,1,"Public","100","0.5","100","99"
200,1,"Public","100","0.5","100","99"
300,1,"Public","100","0.5","100","99"
400,1,"Public","100","0.5","100","99"
500,1,"Public","100","0.5","100","99"
600,1,"Public","100","0.5","100","99"
700,1,"Public","100","0.5","100","99"
800,1,"Public","100","0.5","100","99"
900,1,"Public","100","0.5","100","99"
1000,1,"Public","100","0.5","100","99"
2000,1,"Public","100","0.5","100","99"
3000,1,"Public","100","0.5","100","99"
3000,1,"Public","100","0.5","100","99"
4000,1,"Public","100","0.5","100","99"
5000,1,"Public","100","0.5","100","99"
6000,1,"Public","100","0.5","100","99"
7000,1,"Public","100","0.5","100","99"
8000,1,"Public","100","0.5","100","99"
9000,1,"Public","100","0.5","100","99"
10000,1,"Public","100","0.5","100","99"
300,1,"Canonne","1","0.5","100","99"
350,1,"Canonne","1","0.5","100","99"
400,0.4912,"Canonne","1","0.5","100","99"
450,0.5086,"Canonne","1","0.5","100","99"
500,0.4916,"Canonne","1","0.5","100","99"
550,0.4958,"Canonne","1","0.5","100","99"
600,0.514,"Canonne","1","0.5","100","99"
650,0.5284,"Canonne","1","0.5","100","99"
700,0.571,"Canonne","1","0.5","100","99"
750,0.6352,"Canonne","1","0.5","100","99"
800,0.7244,"Canonne","1","0.5","100","99"
850,0.7938,"Canonne","1","0.5","100","99"
900,0.872,"Canonne","1","0.5","100","99"
950,0.9246,"Canonne","1","0.5","100","99"
1000,0.9592,"Canonne","1","0.5","100","99"
1050,0.9786,"Canonne","1","0.5","100","99"
1100,0.9902,"Canonne","1","0.5","100","99"
1150,0.996,"Canonne","1","0.5","100","99"
1200,0.998,"Canonne","1","0.5","100","99"
1500,1,"Canonne","1","0.5","100","99"
2000,1,"Canonne","1","0.5","100","99"
2500,1,"Canonne","1","0.5","100","99"
3000,1,"Canonne","1","0.5","100","99"
3500,1,"Canonne","1","0.5","100","99"
4000,1,"Canonne","1","0.5","100","99"
4500,1,"Canonne","1","0.5","100","99"
5000,1,"Canonne","1","0.5","100","99"
6000,1,"Canonne","1","0.5","100","99"
7000,1,"Canonne","1","0.5","100","99"
8000,1,"Canonne","1","0.5","100","99"
9000,1,"Canonne","1","0.5","100","99"
10000,1,"Canonne","1","0.5","100","99"
3,0.509702741553112,"Test of tests","1","0.5","100","99"
4,0.512903048229952,"Test of tests","1","0.5","100","99"
5,0.515990214766633,"Test of tests","1","0.5","100","99"
5,0.515990214766633,"Test of tests","1","0.5","100","99"
15,0.534841006151788,"Test of tests","1","0.5","100","99"
25,0.558063853132879,"Test of tests","1","0.5","100","99"
35,0.563494962088028,"Test of tests","1","0.5","100","99"
45,0.58196747290955,"Test of tests","1","0.5","100","99"
55,0.600057257736492,"Test of tests","1","0.5","100","99"
65,0.618280985735057,"Test of tests","1","0.5","100","99"
75,0.636299140272428,"Test of tests","1","0.5","100","99"
85,0.653889922713604,"Test of tests","1","0.5","100","99"
95,0.670689723099526,"Test of tests","1","0.5","100","99"
150,0.756749796304256,"Test of tests","1","0.5","100","99"
170,0.783544085664271,"Test of tests","1","0.5","100","99"
190,0.807701219095562,"Test of tests","1","0.5","100","99"
220,0.838919461921662,"Test of tests","1","0.5","100","99"
230,0.84826745994198,"Test of tests","1","0.5","100","99"
250,0.864912573915178,"Test of tests","1","0.5","100","99"
260,0.872640044485058,"Test of tests","1","0.5","100","99"
300,0.898019863509188,"Test of tests","1","0.5","100","99"
400,0.93600899031473,"Test of tests","1","0.5","100","99"
450,0.945846121328448,"Test of tests","1","0.5","100","99"
500,0.952404155916236,"Test of tests","1","0.5","100","99"
600,0.972223640154559,"Test of tests","1","0.5","100","99"
650,0.97649318160181,"Test of tests","1","0.5","100","99"
700,0.982435714965666,"Test of tests","1","0.5","100","99"
750,0.984835254974026,"Test of tests","1","0.5","100","99"
800,0.990782906744647,"Test of tests","1","0.5","100","99"
850,0.992747163826761,"Test of tests","1","0.5","100","99"
900,0.99427425172205,"Test of tests","1","0.5","100","99"
950,0.995537350416698,"Test of tests","1","0.5","100","99"
1000,0.996522879696642,"Test of tests","1","0.5","100","99"
1000,0.996522879696642,"Test of tests","1","0.5","100","99"
2000,0.999913233456139,"Test of tests","1","0.5","100","99"
3000,0.999907911705441,"Test of tests","1","0.5","100","99"
4000,0.999987658135294,"Test of tests","1","0.5","100","99"
5000,0.998192376239141,"Test of tests","1","0.5","100","99"
6000,0.999756885540336,"Test of tests","1","0.5","100","99"
7000,0.999909275529894,"Test of tests","1","0.5","100","99"
8000,0.999966632210322,"Test of tests","1","0.5","100","99"
9000,0.999987864437965,"Test of tests","1","0.5","100","99"
10000,0.999995507528931,"Test of tests","1","0.5","100","99"
