"n","eps","test","power","eff","g"
12162,"0.01","kw sq",0.0648,"0.5","2"
12162,"0.1","kw sq",0.7692,"0.5","2"
12162,"1","kw sq",1,"0.5","2"
12162,"100","kw sq",1,"0.5","2"
12162,"0.01","kw abs",0.998,"0.5","2"
12162,"0.1","kw abs",1,"0.5","2"
12162,"1","kw abs",1,"0.5","2"
12162,"100","kw abs",1,"0.5","2"
16232,"0.01","kw sq",0.072,"0.5","2"
16232,"0.1","kw sq",0.928,"0.5","2"
16232,"1","kw sq",1,"0.5","2"
16232,"100","kw sq",1,"0.5","2"
16232,"0.01","kw abs",0.9996,"0.5","2"
16232,"0.1","kw abs",1,"0.5","2"
16232,"1","kw abs",1,"0.5","2"
16232,"100","kw abs",1,"0.5","2"
21490,"0.01","kw sq",0.0812,"0.5","2"
21490,"0.1","kw sq",0.9756,"0.5","2"
21490,"1","kw sq",1,"0.5","2"
21490,"100","kw sq",1,"0.5","2"
21490,"0.01","kw abs",1,"0.5","2"
21490,"0.1","kw abs",1,"0.5","2"
21490,"1","kw abs",1,"0.5","2"
21490,"100","kw abs",1,"0.5","2"
10,"1","Private ANOVA",0.03,"0.5","2"
20,"1","Private ANOVA",0.034,"0.5","2"
30,"1","Private ANOVA",0.044,"0.5","2"
40,"1","Private ANOVA",0.024,"0.5","2"
50,"1","Private ANOVA",0.042,"0.5","2"
70,"1","Private ANOVA",0.038,"0.5","2"
90,"1","Private ANOVA",0.08,"0.5","2"
120,"1","Private ANOVA",0.054,"0.5","2"
150,"1","Private ANOVA",0.078,"0.5","2"
190,"1","Private ANOVA",0.092,"0.5","2"
240,"1","Private ANOVA",0.148,"0.5","2"
300,"1","Private ANOVA",0.258,"0.5","2"
400,"1","Private ANOVA",0.554,"0.5","2"
500,"1","Private ANOVA",0.814,"0.5","2"
600,"1","Private ANOVA",0.928,"0.5","2"
720,"1","Private ANOVA",0.99,"0.5","2"
900,"1","Private ANOVA",0.996,"0.5","2"
1000,"1","Private ANOVA",0.996,"0.5","2"
10,"1","Public ANOVA",0.282,"0.5","2"
20,"1","Public ANOVA",0.578,"0.5","2"
30,"1","Public ANOVA",0.76,"0.5","2"
40,"1","Public ANOVA",0.854,"0.5","2"
50,"1","Public ANOVA",0.916,"0.5","2"
70,"1","Public ANOVA",0.98,"0.5","2"
90,"1","Public ANOVA",0.996,"0.5","2"
120,"1","Public ANOVA",1,"0.5","2"
150,"1","Public ANOVA",1,"0.5","2"
190,"1","Public ANOVA",1,"0.5","2"
240,"1","Public ANOVA",1,"0.5","2"
300,"1","Public ANOVA",1,"0.5","2"
400,"1","Public ANOVA",1,"0.5","2"
500,"1","Public ANOVA",1,"0.5","2"
600,"1","Public ANOVA",1,"0.5","2"
720,"1","Public ANOVA",1,"0.5","2"
900,"1","Public ANOVA",1,"0.5","2"
1000,"1","Public ANOVA",1,"0.5","2"
12,"1","Private MW",0.0396,"0.5","2"
12,"1","Public MW",0.3124,"0.5","2"
22,"1","Private MW",0.0348,"0.5","2"
22,"1","Public MW",0.5708,"0.5","2"
38,"1","Private MW",0.0224,"0.5","2"
38,"1","Public MW",0.8436,"0.5","2"
62,"1","Private MW",0.0176,"0.5","2"
62,"1","Public MW",0.9656,"0.5","2"
100,"1","Private MW",0.1748,"0.5","2"
100,"1","Public MW",0.998,"0.5","2"
160,"1","Private MW",0.8716,"0.5","2"
160,"1","Public MW",1,"0.5","2"
248,"1","Private MW",0.9968,"0.5","2"
248,"1","Public MW",1,"0.5","2"
380,"1","Private MW",1,"0.5","2"
380,"1","Public MW",1,"0.5","2"
570,"1","Private MW",1,"0.5","2"
570,"1","Public MW",1,"0.5","2"
842,"1","Private MW",1,"0.5","2"
842,"1","Public MW",1,"0.5","2"
12,"1","Test of tests",0.0763,"0.5","2"
22,"1","Test of tests",0.1017,"0.5","2"
38,"1","Test of tests",0.1746,"0.5","2"
62,"1","Test of tests",0.3528,"0.5","2"
100,"1","Test of tests",0.5818,"0.5","2"
160,"1","Test of tests",0.8633,"0.5","2"
248,"1","Test of tests",0.9805,"0.5","2"
380,"1","Test of tests",0.9985,"0.5","2"
570,"1","Test of tests",0.9992,"0.5","2"
842,"1","Test of tests",0.9989,"0.5","2"
1226,"1","Test of tests",1,"0.5","2"
